"cr83d_caseintent1id","cr83d_defaultsla","importsequencenumber","cr83d_name","cr83d_requiresapproval","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit","cr83d_parentappcategory"
"28a16dcb-011c-f111-88b2-000d3a316591","5","","CYBERGRX Assessment","False","1","0","","","2575594","c88f4d16-1e19-f111-8342-000d3a30e1ff","bbc95fbf-011c-f111-88b2-000d3a316591"
"27a16dcb-011c-f111-88b2-000d3a316591","3","","Compliance Requirement Query","False","1","0","","","2575593","c88f4d16-1e19-f111-8342-000d3a30e1ff","d5c95fbf-011c-f111-88b2-000d3a316591"
"26a16dcb-011c-f111-88b2-000d3a316591","5","","Audit Request","False","1","0","","","2575592","c88f4d16-1e19-f111-8342-000d3a30e1ff","d4c95fbf-011c-f111-88b2-000d3a316591"
"25a16dcb-011c-f111-88b2-000d3a316591","3","","Escalation Request","True","1","0","","","2575591","c88f4d16-1e19-f111-8342-000d3a30e1ff","d3c95fbf-011c-f111-88b2-000d3a316591"
"24a16dcb-011c-f111-88b2-000d3a316591","5","","Service Review Request","False","1","0","","","2575589","c88f4d16-1e19-f111-8342-000d3a30e1ff","d2c95fbf-011c-f111-88b2-000d3a316591"
"23a16dcb-011c-f111-88b2-000d3a316591","2","","Mail Room Query","False","1","0","","","2575588","c88f4d16-1e19-f111-8342-000d3a30e1ff","d1c95fbf-011c-f111-88b2-000d3a316591"
"22a16dcb-011c-f111-88b2-000d3a316591","3","","Facilities Management Request","False","1","0","","","2575587","c88f4d16-1e19-f111-8342-000d3a30e1ff","d0c95fbf-011c-f111-88b2-000d3a316591"
"de6e5fc5-011c-f111-88b2-000d3a316591","5","","Contract Negotiation Support","True","1","0","","","2575586","c88f4d16-1e19-f111-8342-000d3a30e1ff","cfc95fbf-011c-f111-88b2-000d3a316591"
"dd6e5fc5-011c-f111-88b2-000d3a316591","5","","RFP Process Query","False","1","0","","","2575585","c88f4d16-1e19-f111-8342-000d3a30e1ff","cec95fbf-011c-f111-88b2-000d3a316591"
"dc6e5fc5-011c-f111-88b2-000d3a316591","3","","Contract Management Query","False","1","0","","","2575584","c88f4d16-1e19-f111-8342-000d3a30e1ff","cdc95fbf-011c-f111-88b2-000d3a316591"
"db6e5fc5-011c-f111-88b2-000d3a316591","5","","Supplier Review Request","False","1","0","","","2575583","c88f4d16-1e19-f111-8342-000d3a30e1ff","ccc95fbf-011c-f111-88b2-000d3a316591"
"da6e5fc5-011c-f111-88b2-000d3a316591","3","","APAC Advisory Query","False","1","0","","","2575582","c88f4d16-1e19-f111-8342-000d3a30e1ff","cbc95fbf-011c-f111-88b2-000d3a316591"
"d96e5fc5-011c-f111-88b2-000d3a316591","3","","US Advisory Query","False","1","0","","","2575581","c88f4d16-1e19-f111-8342-000d3a30e1ff","cac95fbf-011c-f111-88b2-000d3a316591"
"d86e5fc5-011c-f111-88b2-000d3a316591","3","","EME Markets Query","False","1","0","","","2575580","c88f4d16-1e19-f111-8342-000d3a30e1ff","c9c95fbf-011c-f111-88b2-000d3a316591"
"d76e5fc5-011c-f111-88b2-000d3a316591","2","","Point of Contact Update","False","1","0","","","2575579","c88f4d16-1e19-f111-8342-000d3a30e1ff","c8c95fbf-011c-f111-88b2-000d3a316591"
"d66e5fc5-011c-f111-88b2-000d3a316591","5","","Engagement Request","False","1","0","","","2575578","c88f4d16-1e19-f111-8342-000d3a30e1ff","c7c95fbf-011c-f111-88b2-000d3a316591"
"d56e5fc5-011c-f111-88b2-000d3a316591","2","","Communications Query","False","1","0","","","2575577","c88f4d16-1e19-f111-8342-000d3a30e1ff","c6c95fbf-011c-f111-88b2-000d3a316591"
"d46e5fc5-011c-f111-88b2-000d3a316591","3","","Service Operations Management Query","False","1","0","","","2575576","c88f4d16-1e19-f111-8342-000d3a30e1ff","c5c95fbf-011c-f111-88b2-000d3a316591"
"d36e5fc5-011c-f111-88b2-000d3a316591","3","","APAC Regional Enquiry","False","1","0","","","2575575","c88f4d16-1e19-f111-8342-000d3a30e1ff","c4c95fbf-011c-f111-88b2-000d3a316591"
"d26e5fc5-011c-f111-88b2-000d3a316591","3","","Corporate Relations US Query","False","1","0","","","2575574","c88f4d16-1e19-f111-8342-000d3a30e1ff","c3c95fbf-011c-f111-88b2-000d3a316591"
"d16e5fc5-011c-f111-88b2-000d3a316591","5","","SRM Handover","True","1","0","","","2575573","c88f4d16-1e19-f111-8342-000d3a30e1ff","c2c95fbf-011c-f111-88b2-000d3a316591"
"d06e5fc5-011c-f111-88b2-000d3a316591","3","","Org Unit or Business Division Incorrect","False","1","0","","","2575572","c88f4d16-1e19-f111-8342-000d3a30e1ff","c1c95fbf-011c-f111-88b2-000d3a316591"
"cf6e5fc5-011c-f111-88b2-000d3a316591","2","","Webform Submission Error","False","1","0","","","2575571","c88f4d16-1e19-f111-8342-000d3a30e1ff","c0c95fbf-011c-f111-88b2-000d3a316591"
"ce6e5fc5-011c-f111-88b2-000d3a316591","3","","System Access Issue","False","1","0","","","2575570","c88f4d16-1e19-f111-8342-000d3a30e1ff","bfc95fbf-011c-f111-88b2-000d3a316591"
"cd6e5fc5-011c-f111-88b2-000d3a316591","2","","Coupa Reports","False","1","0","","","2575568","c88f4d16-1e19-f111-8342-000d3a30e1ff","bec95fbf-011c-f111-88b2-000d3a316591"
"cc6e5fc5-011c-f111-88b2-000d3a316591","3","","PO Utilised Value Check","False","1","0","","","2575567","c88f4d16-1e19-f111-8342-000d3a30e1ff","bac95fbf-011c-f111-88b2-000d3a316591"
"cb6e5fc5-011c-f111-88b2-000d3a316591","5","","Manual Upload Request","True","1","0","","","2575566","c88f4d16-1e19-f111-8342-000d3a30e1ff","bcc95fbf-011c-f111-88b2-000d3a316591"
"ca6e5fc5-011c-f111-88b2-000d3a316591","3","","Approver Change on Fieldglass","True","1","0","","","2575565","c88f4d16-1e19-f111-8342-000d3a30e1ff","bdc95fbf-011c-f111-88b2-000d3a316591"
"c96e5fc5-011c-f111-88b2-000d3a316591","5","","Supplier Onboarding SAP Fieldglass","False","1","0","","","2575564","c88f4d16-1e19-f111-8342-000d3a30e1ff","bdc95fbf-011c-f111-88b2-000d3a316591"
"c86e5fc5-011c-f111-88b2-000d3a316591","2","","Standard Invoice Requirements","False","1","0","","","2575563","c88f4d16-1e19-f111-8342-000d3a30e1ff","bac95fbf-011c-f111-88b2-000d3a316591"
"c76e5fc5-011c-f111-88b2-000d3a316591","5","","Unblock a Supplier","True","1","0","","","2575562","c88f4d16-1e19-f111-8342-000d3a30e1ff","bbc95fbf-011c-f111-88b2-000d3a316591"
"c66e5fc5-011c-f111-88b2-000d3a316591","3","","Supplier Login or Portal Issues","False","1","0","","","2575561","c88f4d16-1e19-f111-8342-000d3a30e1ff","bbc95fbf-011c-f111-88b2-000d3a316591"
"c56e5fc5-011c-f111-88b2-000d3a316591","5","","Apply for Corporate Card India","True","1","0","","","2575560","c88f4d16-1e19-f111-8342-000d3a30e1ff","b9c95fbf-011c-f111-88b2-000d3a316591"
"c46e5fc5-011c-f111-88b2-000d3a316591","5","","Security Pass Medical Certificate","False","1","0","","","2575559","c88f4d16-1e19-f111-8342-000d3a30e1ff","b8c95fbf-011c-f111-88b2-000d3a316591"
"c36e5fc5-011c-f111-88b2-000d3a316591","5","","Payment Reconciliation Query","False","1","0","","","2575558","c88f4d16-1e19-f111-8342-000d3a30e1ff","b7c95fbf-011c-f111-88b2-000d3a316591"
"c26e5fc5-011c-f111-88b2-000d3a316591","3","","Travel Feedback Submission","False","1","0","","","2575557","c88f4d16-1e19-f111-8342-000d3a30e1ff","b6c95fbf-011c-f111-88b2-000d3a316591"
"c16e5fc5-011c-f111-88b2-000d3a316591","2","","Meeting Room Booking Issue","False","1","0","","","2575556","c88f4d16-1e19-f111-8342-000d3a30e1ff","63d939b9-011c-f111-88b2-000d3a316591"
"c06e5fc5-011c-f111-88b2-000d3a316591","5","","Airfare Refund Credit Note Not Received","False","1","0","","","2575555","c88f4d16-1e19-f111-8342-000d3a30e1ff","5cd939b9-011c-f111-88b2-000d3a316591"
"bf6e5fc5-011c-f111-88b2-000d3a316591","2","","Access CBTT","False","1","0","","","2575554","c88f4d16-1e19-f111-8342-000d3a30e1ff","61d939b9-011c-f111-88b2-000d3a316591"
"be6e5fc5-011c-f111-88b2-000d3a316591","5","","CBTT Request for Future New Joiner","True","1","0","","","2575553","c88f4d16-1e19-f111-8342-000d3a30e1ff","61d939b9-011c-f111-88b2-000d3a316591"
"bd6e5fc5-011c-f111-88b2-000d3a316591","3","","Travel History Report","False","1","0","","","2575552","c88f4d16-1e19-f111-8342-000d3a30e1ff","b5c95fbf-011c-f111-88b2-000d3a316591"
"bc6e5fc5-011c-f111-88b2-000d3a316591","2","","Book Tickets For Europe Rail Travel","False","1","0","","","2575551","c88f4d16-1e19-f111-8342-000d3a30e1ff","5cd939b9-011c-f111-88b2-000d3a316591"
"bb6e5fc5-011c-f111-88b2-000d3a316591","5","","Remove Company Car Registration in Concur","True","1","0","","","2575550","c88f4d16-1e19-f111-8342-000d3a30e1ff","5dd939b9-011c-f111-88b2-000d3a316591"
"ba6e5fc5-011c-f111-88b2-000d3a316591","3","","ImmiSMART Drop Down Menu Missing Purpose","False","1","0","","","2575549","c88f4d16-1e19-f111-8342-000d3a30e1ff","62d939b9-011c-f111-88b2-000d3a316591"
"b96e5fc5-011c-f111-88b2-000d3a316591","2","","Process Claim on Concur Mobile App","False","1","0","","","2575547","c88f4d16-1e19-f111-8342-000d3a30e1ff","5ed939b9-011c-f111-88b2-000d3a316591"
"b86e5fc5-011c-f111-88b2-000d3a316591","5","","Missing or Lost Receipt","True","1","0","","","2575546","c88f4d16-1e19-f111-8342-000d3a30e1ff","5dd939b9-011c-f111-88b2-000d3a316591"
"d9c95fbf-011c-f111-88b2-000d3a316591","3","","AMEX GBT Changing Mechanism for Sending Itineraries","False","1","0","","","2575545","c88f4d16-1e19-f111-8342-000d3a30e1ff","5cd939b9-011c-f111-88b2-000d3a316591"
"d8c95fbf-011c-f111-88b2-000d3a316591","2","","What Travel Insurance Barclays Provide","False","1","0","","","2575544","c88f4d16-1e19-f111-8342-000d3a30e1ff","60d939b9-011c-f111-88b2-000d3a316591"
"d7c95fbf-011c-f111-88b2-000d3a316591","3","","Getting Cross Border Chaser Emails","False","1","0","","","2575543","c88f4d16-1e19-f111-8342-000d3a30e1ff","61d939b9-011c-f111-88b2-000d3a316591"
"d6c95fbf-011c-f111-88b2-000d3a316591","5","","Apply For Japan Visa","False","1","0","","","2575542","c88f4d16-1e19-f111-8342-000d3a30e1ff","5fd939b9-011c-f111-88b2-000d3a316591"
